filename,timestamp,bbox_id,mean_color,max_color,min_color,std_color,color_gradient
20232901750_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.cf25a3226a347953741240f215505518,2023-10-17 17:50:00,4,119.95848751156336,253.0,7.0,54.37596118326687,-0.0667591736046802
20232901800_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.413c03e3cc46cf652a9a581e2e48cb02,2023-10-17 18:00:00,0,128.82451923076923,238.0,2.0,39.71226205823186,17.180555555555543
20232901800_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.413c03e3cc46cf652a9a581e2e48cb02,2023-10-17 18:00:00,1,100.73314950980392,243.0,0.0,46.339025914218645,10.148284313725483
20232901810_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.6df7aca063f3c30cc0051b95785d32c5,2023-10-17 18:10:00,0,130.88795986622074,249.0,9.0,38.78441385460417,17.94202898550725
20232901810_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.6df7aca063f3c30cc0051b95785d32c5,2023-10-17 18:10:00,1,95.27018229166667,231.0,0.0,41.629667486912936,6.5859375
20232901820_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c308222f01f422474a033c1ec4712798,2023-10-17 18:20:00,0,125.45679012345678,249.0,8.0,41.29591245277331,20.318244170096023
20232901820_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.c308222f01f422474a033c1ec4712798,2023-10-17 18:20:00,1,94.11742424242425,175.0,6.0,34.684789349521665,11.890572390572387
20232901830_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.12cab3670d116cf3277fbf45b6926e84,2023-10-17 18:30:00,0,126.48902606310014,247.0,5.0,42.416522750061134,20.405121170553272
20232901830_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.12cab3670d116cf3277fbf45b6926e84,2023-10-17 18:30:00,1,98.69223484848484,177.0,0.0,32.76764757472238,6.435606060606062
20232901830_GOES18-ABI-FD-Sandwich-678x678_jpg.rf.12cab3670d116cf3277fbf45b6926e84,2023-10-17 18:30:00,2,91.95,177.0,0.0,34.0981960473602,11.673684210526318
