,PC1_spatial,PC2_spatial,PC3_spatial,PC4_spatial
bbox_width,0.4264476943808913,0.5177709229071301,0.14455621154070228,0.03342936662135134
bbox_height,0.5446653176238484,-0.1625601817886574,-0.3868307192163913,0.07853491508203411
bbox_area,0.600168012530633,0.14905760998401904,-0.2169726115685652,0.05279611027571835
aspect_ratio,0.02355736112488557,0.5495726978446748,0.5667684556375734,0.08180250146130164
x_center,-0.33594789721337703,0.3832679469938088,-0.47633985034763354,0.7163298186120994
y_center,0.21877950901468413,-0.48409174562831236,0.4840064533347044,0.685643680800704
